count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
174,23.0,166.0,2025/3/12,6223.759467,5934.759468,1741747052,5.0,5.0,pos1_2,Right,GXAスカイホークス,4,昼馬,Left,TOK,5,Top,2,3,1,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,0.65,0.533,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,3",春山,,小田,Nothing,,,,,,2507020174,四球,,6221.0,https://youtu.be/Jyu6IJPUpVs&t=6221,3168.0,https://youtu.be/aTQ94zDNQF8&t=3168,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","岩佐,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R","Kotaro, Hiruma","Yuichiro, Haruyama",,"Shu, Oda",,,,,,,,,,,,
175,24.0,167.0,2025/3/12,6252.707797,5963.707798,1741747081,6.0,1.0,pos1_2,Right,GXAスカイホークス,5,深見,Left,TOK,5,Top,2,0,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,114.0,0.862,0.148,85.79609379,-22.86232118,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2,3",昼馬,春山,小田,Undefined,,,,7,7,2507020175,左飛,,6250.0,https://youtu.be/Jyu6IJPUpVs&t=6250,3197.0,https://youtu.be/aTQ94zDNQF8&t=3197,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","岩佐,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R","Yuto, Fukami","Kotaro, Hiruma","Yuichiro, Haruyama","Shu, Oda",,,,,,,,,,,,
176,1.0,168.0,2025/3/12,6433.993875,6144.9938760000005,1741747262,1.0,1.0,山崎,Right,TOK,6,batter6,Right,GXAスカイホークス,5,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,125.0,0.566,-0.407,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020176,ボール,,6431.0,https://youtu.be/Jyu6IJPUpVs&t=6431,3378.0,https://youtu.be/aTQ94zDNQF8&t=3378,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
177,2.0,169.0,2025/3/12,6449.688384,6160.688386,1741747278,1.0,2.0,山崎,Right,TOK,6,batter6,Right,GXAスカイホークス,5,Bottom,0,1,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,114.0,0.243,-0.236,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020177,ボール,,6447.0,https://youtu.be/Jyu6IJPUpVs&t=6447,3394.0,https://youtu.be/aTQ94zDNQF8&t=3394,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
178,3.0,170.0,2025/3/12,6465.060033,6176.060035,1741747293,1.0,3.0,山崎,Right,TOK,6,batter6,Right,GXAスカイホークス,5,Bottom,0,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,127.0,1.23,0.62,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020178,ボール,,6463.0,https://youtu.be/Jyu6IJPUpVs&t=6463,3161.0,https://youtu.be/aTQ94zDNQF8&t=3161,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
179,4.0,171.0,2025/3/12,6480.431937,6191.431939,1741747309,1.0,4.0,山崎,Right,TOK,6,batter6,Right,GXAスカイホークス,5,Bottom,0,3,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,120.0,0.702,0.168,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020179,見逃し,,6478.0,https://youtu.be/Jyu6IJPUpVs&t=6478,3176.0,https://youtu.be/aTQ94zDNQF8&t=3176,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
180,5.0,172.0,2025/3/12,6494.376949,6205.37695,1741747323,1.0,5.0,山崎,Right,TOK,6,batter6,Right,GXAスカイホークス,5,Bottom,0,3,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,112.0,0.854,0.188,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020180,見逃し,,6492.0,https://youtu.be/Jyu6IJPUpVs&t=6492,3190.0,https://youtu.be/aTQ94zDNQF8&t=3190,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
181,6.0,173.0,2025/3/12,6512.049337,6223.049338,1741747340,1.0,6.0,山崎,Right,TOK,6,batter6,Right,GXAスカイホークス,5,Bottom,0,3,2,Fastball,HitByPitch,Undefined,Undefined,Undefined,0,0,,,1.223,0.813,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020181,死球,,6510.0,https://youtu.be/Jyu6IJPUpVs&t=6510,3208.0,https://youtu.be/aTQ94zDNQF8&t=3208,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
182,7.0,174.0,2025/3/12,6546.138782,6257.138784,1741747374,2.0,1.0,山崎,Right,TOK,7,batter7,Right,GXAスカイホークス,5,Bottom,0,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,104.0,0.546,-0.433,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,Nothing,,,,,,2507020182,ボール,,6544.0,https://youtu.be/Jyu6IJPUpVs&t=6544,3242.0,https://youtu.be/aTQ94zDNQF8&t=3242,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
183,8.0,175.0,2025/3/12,6566.125713,6277.125714,1741747394,2.0,2.0,山崎,Right,TOK,7,batter7,Right,GXAスカイホークス,5,Bottom,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,124.0,0.243,0.168,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,Nothing,,,,,,2507020183,ボール,,6564.0,https://youtu.be/Jyu6IJPUpVs&t=6564,3262.0,https://youtu.be/aTQ94zDNQF8&t=3262,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
184,9.0,176.0,2025/3/12,6581.897867,6292.897868,1741747410,2.0,3.0,山崎,Right,TOK,7,batter7,Right,GXAスカイホークス,5,Bottom,0,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,125.0,0.79,0.164,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,Nothing,,,,,,2507020184,見逃し,,6579.0,https://youtu.be/Jyu6IJPUpVs&t=6579,3278.0,https://youtu.be/aTQ94zDNQF8&t=3278,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
185,,,2025/3/12,6595.649481,6306.649483,1741747424,,,山崎,Right,TOK,7,batter7,Right,GXAスカイホークス,5,Bottom,0,2,1,,,,,,0,0,,,,,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,PickOff,,,,"1,3","1,3",2507020185,牽制,,6593.0,https://youtu.be/Jyu6IJPUpVs&t=6593,3291.0,https://youtu.be/aTQ94zDNQF8&t=3291,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
186,,,2025/3/12,6611.94354,6322.943542,1741747440,,,山崎,Right,TOK,7,batter7,Right,GXAスカイホークス,5,Bottom,0,2,1,,,,,,0,0,,,,,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,PickOff,,,,"1,3","1,3",2507020186,牽制,,6609.0,https://youtu.be/Jyu6IJPUpVs&t=6609,3308.0,https://youtu.be/aTQ94zDNQF8&t=3308,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
187,10.0,177.0,2025/3/12,6626.349179,6337.34918,1741747455,2.0,4.0,山崎,Right,TOK,7,batter7,Right,GXAスカイホークス,5,Bottom,0,2,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,113.0,0.746,-0.24,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,Nothing,,,,,,2507020187,見逃し,,6624.0,https://youtu.be/Jyu6IJPUpVs&t=6624,3322.0,https://youtu.be/aTQ94zDNQF8&t=3322,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
188,,,2025/3/12,6645.360542,6356.360544,1741747474,,,山崎,Right,TOK,7,batter7,Right,GXAスカイホークス,5,Bottom,0,2,2,,,,,,0,0,,,,,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,PickOff,,,,"1,3","1,3",2507020188,牽制,,6643.0,https://youtu.be/Jyu6IJPUpVs&t=6643,3362.0,https://youtu.be/aTQ94zDNQF8&t=3362,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
189,,,2025/3/12,6657.476509,6368.476511,1741747486,,,山崎,Right,TOK,7,batter7,Right,GXAスカイホークス,5,Bottom,0,2,2,,,,,,0,0,,,,,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,PickOff,,,,"1,3","1,3",2507020189,牽制,,6655.0,https://youtu.be/Jyu6IJPUpVs&t=6655,3374.0,https://youtu.be/aTQ94zDNQF8&t=3374,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
190,11.0,178.0,2025/3/12,6672.379991,6383.379992,1741747501,2.0,5.0,山崎,Right,TOK,7,batter7,Right,GXAスカイホークス,5,Bottom,0,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.283,-0.413,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,Nothing,,,,,,2507020190,ボール,,6670.0,https://youtu.be/Jyu6IJPUpVs&t=6670,3389.0,https://youtu.be/aTQ94zDNQF8&t=3389,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
191,12.0,179.0,2025/3/12,6701.650092,6412.650093,1741747530,2.0,6.0,山崎,Right,TOK,7,batter7,Right,GXAスカイホークス,5,Bottom,0,3,2,Fastball,InPlay,Undefined,GroundBall,Single,0,0,A2SR1,125.0,0.794,-0.1,77.4020163,22.16634582,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,Undefined,,,,9,9,2507020191,右安,,6699.0,https://youtu.be/Jyu6IJPUpVs&t=6699,3418.0,https://youtu.be/aTQ94zDNQF8&t=3418,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
192,,,2025/3/12,6753.215668,6464.215669,1741747581,,,山崎,Right,TOK,8,batter8,Right,GXAスカイホークス,5,Bottom,0,0,0,,,,,,0,0,,,,,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2",batter7,batter6,,PickOff,,,,"1,6","1,6",2507020192,牽制,,6751.0,https://youtu.be/Jyu6IJPUpVs&t=6751,3469.0,https://youtu.be/aTQ94zDNQF8&t=3469,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
193,13.0,180.0,2025/3/12,6773.159892,6484.159893,1741747601,3.0,1.0,山崎,Right,TOK,8,batter8,Right,GXAスカイホークス,5,Bottom,0,0,0,Cutter,FoulBall,Undefined,Bunt,Undefined,0,0,,114.0,0.958,0.148,15.57566818,-127.3039483,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2",batter7,batter6,,Undefined,,,,,,2507020193,ファール,,6771.0,https://youtu.be/Jyu6IJPUpVs&t=6771,3489.0,https://youtu.be/aTQ94zDNQF8&t=3489,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
194,14.0,181.0,2025/3/12,6801.073383,6512.073385,1741747629,3.0,2.0,山崎,Right,TOK,8,batter8,Right,GXAスカイホークス,5,Bottom,0,0,1,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,A2B,111.0,1.21,0.264,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2",batter7,batter6,,Nothing,,,,,,2507020194,ボール,,6799.0,https://youtu.be/Jyu6IJPUpVs&t=6799,3557.0,https://youtu.be/aTQ94zDNQF8&t=3557,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
195,15.0,182.0,2025/3/12,6833.899874,6544.899875,1741747662,3.0,3.0,山崎,Right,TOK,8,batter8,Right,GXAスカイホークス,5,Bottom,0,1,1,Fastball,InPlay,Undefined,Bunt,Out,1,0,,,0.958,0.192,9.805764094,-96.91122712,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2",batter7,batter6,,Undefined,,,,2,2,2507020195,捕ゴ[バ],,6831.0,https://youtu.be/Jyu6IJPUpVs&t=6831,3590.0,https://youtu.be/aTQ94zDNQF8&t=3590,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
196,16.0,183.0,2025/3/12,6878.452248,6589.45225,1741747707,4.0,1.0,山崎,Right,TOK,9,batter9,Left,GXAスカイホークス,5,Bottom,1,0,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.317,-0.16,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2",batter8,batter7,,Nothing,,,,,,2507020196,ボール,,6876.0,https://youtu.be/Jyu6IJPUpVs&t=6876,3635.0,https://youtu.be/aTQ94zDNQF8&t=3635,深見,春山,塗師,石川,小田,山本,片桐,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,片桐,春山,昼馬,深見,山本,石川,塗師,小田","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","山崎,深見,春山,塗師,石川,小田,山本,片桐,安田","R,L,R,R,L,R,R,R,R,L","R,L,L,R,L,L,R,R,R,R",,,,,,,"Ryu, Yamazaki","Yuto, Fukami","Yuichiro, Haruyama","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Jota, Katagiri","Ken, Yasuda",
